TIC,split,sector,camera,ccd,detector_x,detector_y,physics_nll,instrument_nll,physics_percentile,instrument_percentile,physics_rank,instrument_rank,physics_rank_all,instrument_rank_all,classification,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261239054,train,1,4,2,2021.9540347709303,69.7042384861343,192.4777,205.17531,0.3325,0.5475,,,687,421,typical,-2.000061,9.906839,-2.43497,8.1700945
261239053,train,1,4,2,2021.1322642981104,69.99848919089163,161.93271,203.90073,0.13,0.54,,,881,427,typical,-1.9104745,9.817712,-2.4634736,8.160018
261239045,train,1,4,2,2019.352864597961,70.63537136964298,148.38213,210.54437,0.07,0.585,,,936,388,typical,-1.4133639,9.948316,-2.4355843,8.137284
261239044,train,1,4,2,2019.981237509764,71.54851668091001,160.60669,202.94469,0.12125,0.5325,,,888,435,typical,-1.8228532,9.903515,-2.4572954,8.122164
261236380,train,1,4,2,2014.3010096052153,68.76618681451748,236.34952,189.32542,0.6125,0.455,,,409,510,typical,-2.0925035,10.019331,-2.4218652,8.171895
261239028,train,1,4,2,2013.1284642963856,76.62282076017158,167.30887,139.64847,0.17,0.25125,,,844,717,typical,-1.8973186,9.949635,-2.416924,6.7618327
261236384,train,1,4,2,2016.488857470402,65.16974803184728,156.40196,207.69493,0.1025,0.5625,,,907,409,typical,-1.1698201,10.382419,-2.4300377,8.136418
261236375,train,1,4,2,2005.619529763008,62.61308890367538,223.89265,242.54318,0.5325,0.7125,,,492,263,typical,-1.838926,10.087605,-2.2182143,6.6738477
261206847,train,1,4,2,2038.7770580041033,22.12634538957326,243.2662,106.092094,0.6475,0.12875,,,372,843,typical,-0.0777731,7.889267,-1.3150198,7.089827
261204442,train,1,4,2,2029.1583738653435,19.393232013911415,193.80418,124.796394,0.3425,0.1925,,,678,776,typical,1.2866303,9.878308,-1.3783847,7.1316204
261204430,train,1,4,2,2022.1819414230515,19.501842272693168,345.81067,47.653328,0.93125,0.00125,,,76,998,typical,4.7212777,5.437981,-1.2209116,7.855956
261204418,train,1,4,2,2016.661819691422,24.112384395610302,256.8598,101.121895,0.70875,0.10375,,,314,867,typical,8.393241,5.241691,0.20103326,4.4427123
261204415,train,1,4,2,2013.636964671207,23.40892646770431,280.4263,178.93263,0.80625,0.41625,,,216,547,typical,7.8690033,5.249195,0.22268671,4.431588
261204396,train,1,4,2,2010.4181441273124,30.56483651546125,401.503,197.35568,0.95875,0.50125,,,39,464,physics,7.7788143,5.4970994,0.19106692,4.497012
261204392,train,1,4,2,2004.0200376207088,26.676860087098916,160.6811,112.5048,0.1225,0.14375,,,887,824,typical,-1.0550596,9.730773,0.34101865,8.444415
261206807,train,1,4,2,2016.9934950435995,41.90692889994711,225.52202,94.682976,0.54375,0.08375,,,481,887,typical,8.876381,6.037875,-2.1269054,7.4333673
261204383,train,1,4,2,2009.497393602916,38.88168165068392,382.08246,61.779297,0.95,0.015,,,50,980,physics,4.5852246,5.84634,-0.33309534,8.631446
261204382,train,1,4,2,2008.641228459007,39.43766106335548,333.1694,48.409763,0.915,0.00375,,,95,996,typical,2.5662591,10.866182,-0.4416677,8.49167
261204380,train,1,4,2,2005.2376831164488,40.873925143521205,169.82808,96.87767,0.1925,0.08625,,,823,884,typical,0.16456455,7.586079,-0.4127656,8.627088
261204371,train,1,4,2,2003.5134989287135,42.897049144851216,256.36142,80.11158,0.7075,0.0525,,,315,930,typical,0.76447356,9.049726,-0.52842045,8.536932
261204401,train,1,4,2,2013.784370848188,31.655538569218542,294.6837,315.2242,0.85,0.895,,,174,91,typical,7.803429,5.585813,0.20978117,4.4546847
261204394,train,1,4,2,2008.3628590616252,30.611757968487993,402.73807,196.94922,0.96,0.5,,,37,465,physics,7.8628645,5.372752,0.17608024,4.5411267
261204375,train,1,4,2,1997.3752961044536,34.02861221828529,202.31593,209.7337,0.4025,0.5775,,,625,394,typical,1.1219397,9.611391,-0.3056837,8.653824
261204363,train,1,4,2,1997.0986418078348,40.589756738884105,160.9371,151.37698,0.125,0.3025,,,885,661,typical,-1.0403124,10.020917,-0.18564144,8.770446
261204367,train,1,4,2,1998.1883912248004,40.250678261710945,148.9948,134.39064,0.0725,0.23125,,,934,739,typical,-1.0917991,10.01361,-0.24436189,8.698315
261156502,train,1,4,2,1989.3328735538091,38.57016705893555,185.5204,183.14987,0.2925,0.4275,,,729,537,typical,-0.4688385,10.225322,-0.43749824,8.404397
261156546,train,1,4,2,2007.1143425823843,19.653132372817325,240.72348,108.19838,0.635,0.1325,,,388,836,typical,2.4124167,10.735314,0.39227086,8.491657
261156544,train,1,4,2,2006.1931466071971,20.46703621329133,173.53087,98.96198,0.21125,0.0975,,,805,873,typical,0.72457504,10.06458,0.34709263,8.459509
261156541,train,1,4,2,2001.079396048286,17.607751940344688,163.37082,179.77681,0.14125,0.4175,,,869,546,typical,-0.89192,8.808008,0.2578049,8.786794
261156539,train,1,4,2,2003.0668736706823,22.59823973917722,156.55421,115.698296,0.10375,0.16,,,906,808,typical,-0.6506,9.834244,0.32369614,8.513996
261156529,train,1,4,2,1994.08402479347,21.62243461051004,173.81607,112.79597,0.21375,0.145,,,803,823,typical,-0.35334444,9.996963,0.18964888,8.729069
392026016,train,1,4,2,1986.042035796589,10.261441424312286,163.36363,194.32463,0.14,0.4775,,,870,484,typical,-0.48092464,7.4480996,0.97697455,8.789468
392026007,train,1,4,2,1987.1918046385913,21.356049991718116,745.88025,187.66986,0.99375,0.44625,,,8,517,physics,4.5251036,5.9659295,0.25184944,8.834454
261156511,train,1,4,2,1985.3741639288753,26.681412927580062,168.73738,174.91556,0.1825,0.40375,,,833,560,typical,-0.325305,10.086586,-0.1616021,8.785373
261156498,train,1,4,2,1979.4015431419691,30.021394650244304,181.13293,277.65656,0.265,0.83125,,,751,150,typical,-0.5082908,10.263501,-0.12013898,8.805202
