TIC,split,sector,camera,ccd,detector_x,detector_y,valid_cadences,physics_umap_1,physics_umap_2,instrument_umap_1,instrument_umap_2
261206687,train,1,4,2,1962.457667652999,82.63765245773128,960,8.739807,7.2058854,-0.20359953,2.7298987
261204276,train,1,4,2,1969.1428789623617,73.51280797625225,960,8.405631,7.509107,-0.8566565,3.7348459
261204264,train,1,4,2,1962.754416062924,77.4860252860769,960,8.157358,6.9424834,-0.43107998,2.7546785
261206684,train,1,4,2,1966.2827940616764,88.7229180894638,960,7.9376583,6.760818,0.35765186,2.884808
261206665,train,1,4,2,1961.7120470014238,96.92366912968328,960,8.748732,5.675041,1.02664,2.8817441
261206669,train,1,4,2,1964.0164054298964,97.5144447013098,960,8.630062,6.018632,1.0149522,2.949403
261204247,train,1,4,2,1955.4558020796974,85.60801814347317,960,8.82498,6.7310176,0.040986095,2.789253
261204234,train,1,4,2,1946.1992821176855,91.09893642322218,960,8.690226,5.367275,0.9237498,2.9958088
261204215,train,1,4,2,1939.4725489788,92.55976758974023,960,8.628092,6.2683735,1.1062417,3.1416721
261156405,train,1,4,2,1953.141097424009,65.16486187326245,960,5.667981,5.7527223,-1.3076736,3.3153865
261156403,train,1,4,2,1950.6503267519577,64.56670084516861,960,8.401703,7.5464125,-1.3275036,3.431575
261156394,train,1,4,2,1945.588961762869,64.13181527322652,960,8.063448,7.2301474,-1.3329538,3.421492
261156377,train,1,4,2,1945.6275924605957,75.26478814198231,960,8.434529,7.0613594,-0.8704671,2.7667294
261156372,train,1,4,2,1940.0036414004949,72.5768351830858,960,8.456395,7.1576686,-0.76706994,2.7072484
261156389,train,1,4,2,1943.619351443919,64.56334749460048,960,8.505344,7.46866,-1.1476817,2.8990922
392025904,train,1,4,2,1931.5466370328118,61.65149725728225,960,7.834818,7.563928,-1.1192142,2.8372881
392025901,train,1,4,2,1930.7191976362312,62.31413802409447,960,7.8937917,7.348505,-1.2020482,2.870588
261156370,train,1,4,2,1933.9636205226223,69.34977066477447,960,8.130899,7.184649,-1.0321655,2.7429347
261156361,train,1,4,2,1932.5392958343973,70.94072574297029,960,8.522301,7.2194977,-0.9683247,2.709589
392025871,train,1,4,2,1919.866108946247,70.99292203264605,960,8.751376,6.677851,0.42522424,2.8422184
261156364,train,1,4,2,1939.9121885276813,79.10147025264297,960,8.5018635,6.962716,-0.7834573,2.7931874
261156356,train,1,4,2,1935.2477450036197,78.15667848324611,960,8.592768,7.000566,-0.78997207,2.7376435
261156346,train,1,4,2,1934.4701831722307,87.29501559842204,960,6.681467,5.8779097,0.9590616,3.0299437
261156341,train,1,4,2,1930.115793670911,86.99152902402525,960,8.54877,5.9895096,1.239818,3.0957239
392025861,train,1,4,2,1917.8420460226776,79.0754146845247,960,8.479658,5.9164486,0.9255762,2.9450188
261206653,train,1,4,2,1958.8014019970808,101.45785857737218,960,8.898669,5.364306,1.0951836,2.9956293
261206637,train,1,4,2,1948.6401917079043,102.60444072940206,960,10.760092,4.8162284,1.5594951,2.8695455
261206631,train,1,4,2,1949.6609747713571,106.75124103126377,960,10.820882,4.8464527,2.1087403,2.1617997
261206624,train,1,4,2,1944.3013983027054,106.16297875940953,960,8.410979,5.654378,2.1050887,2.3993359
261204216,train,1,4,2,1942.4709255434357,95.48289026589055,960,8.587694,6.1933866,1.202397,3.1359224
261204201,train,1,4,2,1934.7389643170834,101.92688923401433,960,8.195764,5.1725397,1.4149874,3.2057636
261204193,train,1,4,2,1931.2731104379616,105.52176966379557,960,8.192152,5.0439653,3.6500287,2.7339613
261206622,train,1,4,2,1947.3480292851448,112.3150906163983,960,11.49414,4.9078956,2.0938354,2.4549901
261206619,train,1,4,2,1945.4072561670841,110.89645096501238,960,8.306095,5.4351826,2.1935153,2.6342516
