row,TIC,split,sector,camera,ccd,detector_x,detector_y,moment_nll,moment_percentile,moment_anomaly,physics_nll,instrument_nll,physics_percentile,instrument_percentile,classification
336,261206789,val,1,4,2,2002.9590785450864,45.890370850864535,115.69907,0.01875,False,167.78233,106.67227,0.175,0.13,typical
352,261206748,val,1,4,2,1988.670748559962,65.74234549283156,374.38107,0.56625,False,564.57056,207.95709,0.98625,0.56375,physics
362,261204288,val,1,4,2,1969.8343271737176,63.838145774391094,374.6273,0.5675,False,366.95352,291.11966,0.9475,0.85625,typical
383,261156438,val,1,4,2,1957.7269065383643,48.71135280058779,332.5606,0.51375,False,379.6007,190.65858,0.94875,0.46125,typical
411,392013450,val,1,4,2,1958.8854947212606,14.299956873051636,489.4176,0.71,False,188.5163,166.42188,0.31,0.37,typical
424,392025983,val,1,4,2,1964.4767755352448,25.572706070879747,269.7962,0.35625,False,180.67416,166.24232,0.2625,0.37,typical
431,392013413,val,1,4,2,1943.005375676558,26.150951895717352,168.68744,0.125,False,233.6019,139.57164,0.58875,0.24875,typical
503,261137409,val,1,4,2,1910.1275463966467,26.19893920551701,368.04218,0.56,False,333.46527,123.01545,0.915,0.17875,typical
506,261137401,val,1,4,2,1904.9464958909543,26.10287441769588,483.98547,0.70875,False,324.7122,106.6795,0.90625,0.13,typical
558,261106446,val,1,4,2,1864.086907720792,23.021231476666262,628.9809,0.825,False,320.08218,79.85601,0.8975,0.05125,typical
563,261108774,val,1,4,2,1870.9194434633425,32.97037692861334,287.89963,0.40375,False,169.71533,58.392677,0.19125,0.00875,typical
632,261089291,val,1,4,2,1811.9993493392813,23.255091473488637,1598.7037,0.9775,True,218.18445,66.96493,0.50125,0.02375,typical
643,261063067,val,1,4,2,1801.879503839274,21.453104186277688,1022.8918,0.9225,False,274.83344,92.41298,0.79,0.0775,typical
645,261063060,val,1,4,2,1798.6078775063272,21.70151585636921,357.69388,0.5475,False,206.75966,68.90361,0.42875,0.03,typical
675,391950148,val,1,4,2,1755.4174250198255,5.5191237584991875,196.50862,0.19625,False,253.04921,79.50128,0.68875,0.05,typical
682,261260116,val,1,4,2,2032.3648279153488,96.55836954597038,136.41507,0.05375,False,251.96971,227.8625,0.6875,0.6625,typical
688,261257485,val,1,4,2,2030.5122028595536,85.02318184263561,131.72662,0.0425,False,317.714,267.0931,0.8925,0.80125,typical
695,261257454,val,1,4,2,2012.6730697096625,92.60465531902847,573.426,0.79375,False,281.17755,382.71402,0.81,0.935,typical
702,261260092,val,1,4,2,2021.271337656383,107.95711511223017,289.75912,0.41,False,268.70477,198.68791,0.7625,0.50875,typical
711,261257443,val,1,4,2,2009.766598825399,97.82393114938513,583.5931,0.7975,False,287.81082,250.63666,0.8325,0.7425,typical
720,261239004,val,1,4,2,2005.125454664382,91.27778499811137,257.05505,0.33875,False,397.35568,279.32043,0.955,0.83375,physics
721,261239008,val,1,4,2,2002.7907845134068,84.77766594930048,335.51303,0.52,False,323.29642,297.16965,0.89875,0.86625,typical
733,261236327,val,1,4,2,1991.3576946575974,87.1848133372848,252.60992,0.33,False,211.20343,424.8959,0.455,0.95875,instrument
764,261257422,val,1,4,2,1999.3297899015263,110.65303216826737,271.5957,0.35875,False,237.44273,181.09209,0.61625,0.4225,typical
